  
       XFOIL         Version 6.99
  
 Calculated polar for: DOUGLAS LA203A AIRFOIL                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000*********   0.000001182.41357-527.7536   0.0000   0.0000
   1.000 228.3613   0.00000 288.77463-138.6541   0.0000   0.0000
   2.0002895.1924   0.00000  -6.25028-369.4589   0.0000   0.0000
   3.0001577.2229   0.00000-193.18938-380.8814   0.0000   0.0000
   4.000-232.7124   0.00000  47.89258  79.4349   0.0000   0.0000
   5.000*********   0.00000 391.67331  20.8389   0.0000   0.0000
   6.000*********   0.00000*******************   0.0000   0.0000
   7.000-805.6032   0.00000 -89.91911 262.4646   0.0000   0.0000
   8.000  35.6262   0.00000 -46.70009 456.9236   0.0000   0.0000
   9.000*********   0.00000-319.67719 198.9247   0.0000   0.0000
  10.000 150.7290   0.00000 -27.35872 324.7233   0.0000   0.0000
  11.000-822.1891   0.00000-153.08578 225.9699   0.0000   0.0000
  12.000-867.3017   0.00000-205.68755 195.4030   0.0000   0.0000
  13.000-750.9172   0.00000-101.35666 173.0175   0.0000   0.0000
  14.000-771.5927   0.00000-188.94949 108.1589   0.0000   0.0000
  15.000-865.8376   0.00000  70.53992  -7.8376   0.0000   0.0000
  16.000-821.8378   0.00000-188.27254 303.8005   0.0000   0.0000
  17.000-972.2444   0.00000-261.18332 217.6822   0.0000   0.0000
  18.000-823.1344   0.00000-235.22845 211.7458   0.0000   0.0000
  19.000-722.2549   0.00000-214.26126 200.8566   0.0000   0.0000
  20.000 560.0427   0.00000 249.49809 363.6839   0.0000   0.0000
